t_s,C_center,C_surface,C_mean,R_m
142080.0,0.07156793637211,0.06693495937915898,0.06920573708392101,0.013942626271126414
142140.0,0.07152185358586446,0.06689878677363831,0.06916471055200923,0.013941803006504857
142200.0,0.07147586861950861,0.06686269063295898,0.06912377092998899,0.013940980667041518
142260.0,0.07142998130561092,0.06682667082283393,0.06908291806759256,0.013940159251511808
142320.0,0.0713841913999469,0.06679072715809242,0.06904215175067094,0.013939338759310076
142380.0,0.07133849869574126,0.06675485947844254,0.06900147179625743,0.013938519189666907
142440.0,0.0712929029866547,0.06671906762392484,0.06896087802176816,0.013937700541725134
142500.0,0.07124740406678273,0.06668335143491154,0.06892037024500097,0.01393688281462795
142560.0,0.07120200173065477,0.06664771075210585,0.06887994828413464,0.013936066007518916
142620.0,0.07115669577323297,0.06661214541654106,0.06883961195772795,0.013935250119541975
142680.0,0.07111148598991117,0.0665766552695799,0.06879936108471874,0.01393443514984143
142740.0,0.07106637217651388,0.06654124015291368,0.06875919548442297,0.013933621097561952
142800.0,0.07102135412929518,0.06650589990856154,0.06871911497653393,0.0139328079618486
142860.0,0.07097643164493768,0.0664706343788697,0.0686791193811212,0.013931995741846788
142920.0,0.07093160452055147,0.06643544340651067,0.06863920851862983,0.013931184436702325
142980.0,0.07088687255367301,0.06640032683448246,0.06859938220987935,0.013930374045561383
143040.0,0.07084223554226414,0.06636528450610785,0.06855964027606296,0.01392956456757051
143100.0,0.07079769328471096,0.06633031626503358,0.0685199825387465,0.013928756001876638
143160.0,0.0707532455798228,0.0662954219552296,0.06848040881986764,0.013927948347627084
143220.0,0.07070889222683115,0.06626060142098826,0.06844091894173494,0.01392714160396953
143280.0,0.07066463302538861,0.06622585450692363,0.06840151272702692,0.013926335770052046
143340.0,0.07062046777556782,0.0661911810579706,0.06836218999879118,0.013925530845023088
143400.0,0.0705763962778604,0.06615658091938421,0.06832295058044342,0.013924726828031492
143460.0,0.07053241833317589,0.06612205393673883,0.06828379429576666,0.013923923718226481
143520.0,0.07048853374284067,0.06608759995592736,0.06824472096891017,0.013923121514757657
143580.0,0.07044474230859699,0.06605321882316058,0.06820573042438874,0.013922320216775011
143640.0,0.07040104383260173,0.06601891038496621,0.06816682248708157,0.013921519823428926
143700.0,0.07035743811742558,0.06598467448818826,0.06812799698223151,0.013920720333870165
143760.0,0.07031392496605174,0.06595051097998622,0.06808925373544415,0.013919921747249887
143820.0,0.07027050418187503,0.06591641970783427,0.06805059257268677,0.01391912406271964
143880.0,0.07022717556870074,0.06588240051952052,0.06801201332028758,0.01391832727943136
143940.0,0.07018393893074361,0.06584845326314624,0.06797351580493474,0.01391753139653738
144000.0,0.07014079407262677,0.06581457778712514,0.06793509985367545,0.013916736413190418
144060.0,0.07009774079938066,0.06578077394018246,0.06789676529391506,0.013915942328543597
144120.0,0.07005477891644196,0.06574704157135436,0.06785851195341616,0.013915149141750429
144180.0,0.07001190822965257,0.06571338052998701,0.06782033966029767,0.013914356851964823
